IPs; Anzahl
190.144.79.157; 2
196.43.231.123; 4
175.164.130.203; 2
94.229.66.131; 3
87.156.132.86; 2
129.204.250.129; 2
85.209.0.103; 9
111.229.121.142; 2
106.13.222.115; 1
111.231.142.160; 2
51.68.230.124; 2
120.92.21.114; 2
14.202.145.11; 4
149.56.172.224; 2
103.139.219.20; 2
122.15.91.154; 2
98.117.54.23; 1
183.134.199.68; 1
51.254.203.205; 3
193.112.19.70; 2
153.126.140.231; 1
194.5.207.189; 2
49.235.134.224; 4
187.38.172.64; 1
71.58.90.64; 1
106.12.55.39; 1
42.159.121.246; 2
106.124.142.64; 2
37.49.226.23; 9
116.255.213.176; 1
123.206.111.27; 2
163.172.127.251; 4
106.13.31.93; 4
157.245.194.38; 4
195.54.160.183; 1
37.49.226.157; 2
103.246.240.30; 6
123.58.5.36; 3
163.172.62.124; 1
51.255.173.70; 1
51.83.76.88; 2
54.37.154.248; 4
128.199.110.226; 2
222.249.235.234; 1
111.229.39.187; 2
125.85.205.57; 1
86.188.246.2; 8
125.212.212.226; 2
103.45.161.100; 4
43.248.124.132; 1
106.13.1.208; 2
123.145.113.25; 1
61.157.142.246; 4
206.189.165.94; 2
185.69.24.243; 3
61.74.118.139; 4
177.44.208.107; 6
66.190.238.151; 1
109.107.240.6; 4
187.58.2.144; 1
218.24.106.222; 3
106.12.120.207; 2
92.222.92.64; 4
111.229.53.186; 4
175.24.81.169; 2
138.197.21.218; 4
193.107.75.42; 2
109.173.40.60; 1
27.128.168.225; 3
175.24.96.82; 2
125.85.201.74; 1
206.189.178.171; 1
54.37.154.113; 2
116.196.94.108; 2
193.112.158.242; 1
49.233.13.145; 2
123.145.208.233; 1
212.129.57.201; 2
47.176.39.218; 2
152.32.143.5; 5
101.71.129.48; 1
150.109.62.167; 3
159.65.140.38; 4
139.198.5.138; 3
5.39.86.52; 1
121.79.131.234; 4
183.129.141.30; 2
58.16.187.26; 2
54.38.55.136; 4
58.87.90.156; 2
193.112.98.79; 2
211.245.36.218; 2
185.153.196.230; 9
87.251.74.48; 10
104.248.205.67; 1
152.136.198.76; 1
180.76.155.19; 2
85.209.0.100; 7
185.188.218.6; 8
130.61.60.107; 13
168.90.89.35; 2
103.89.252.123; 4
179.191.224.126; 3
122.51.56.205; 2
189.125.93.48; 2
217.182.94.110; 4
139.199.89.157; 4
111.229.48.106; 4
187.11.124.60; 1
198.23.130.4; 1
47.30.167.39; 1
85.209.0.102; 6
162.243.170.252; 3
118.27.6.66; 4
3.7.91.47; 2
41.63.1.38; 2
221.225.81.86; 2
138.68.24.88; 2
165.22.50.55; 7
106.13.125.159; 1
114.219.157.97; 2
85.209.0.15; 1
27.34.30.58; 1
51.75.78.128; 7
51.178.50.244; 3
45.55.177.214; 2
185.183.159.173; 2
106.13.185.97; 1
190.128.118.185; 1
128.0.129.192; 2
154.66.219.20; 3
202.109.202.60; 1
144.217.12.194; 2
1.54.121.103; 1
49.232.34.247; 3
46.101.169.59; 1
113.141.66.255; 2
14.186.240.57; 1
211.23.45.39; 1
37.49.226.178; 4
111.229.120.31; 2
123.206.41.68; 4
181.40.76.162; 2
159.203.63.125; 2
95.242.7.147; 2
49.233.169.219; 2
185.58.192.194; 2
218.253.69.134; 1
51.77.147.5; 2
68.183.88.186; 4
180.65.167.61; 2
111.229.78.120; 4
188.170.13.225; 4
101.89.145.133; 2
202.100.223.42; 1
45.118.151.85; 4
149.56.15.98; 6
106.12.192.120; 2
167.71.212.3; 2
122.51.221.184; 2
92.222.78.178; 1
181.198.252.236; 2
177.32.129.97; 4
106.12.111.201; 2
202.88.234.140; 3
49.235.115.221; 4
178.19.251.199; 1
142.93.68.181; 2
120.72.106.106; 2
41.72.219.102; 4
129.204.84.252; 1
88.208.194.117; 2
14.56.180.103; 2
113.23.42.183; 1
36.111.182.48; 2
92.222.93.104; 4
37.49.226.32; 2
54.39.138.251; 6
123.30.149.76; 1
159.203.181.247; 2
185.53.168.96; 2
81.250.182.198; 2
84.255.249.179; 2
119.4.225.31; 2
2.50.24.158; 1
139.59.188.207; 4
106.54.166.187; 2
190.11.71.183; 1
219.250.188.134; 1
132.232.1.155; 2
27.124.37.198; 2
210.71.232.236; 1
139.255.35.181; 2
188.131.131.59; 2
195.18.19.70; 1
113.160.96.0; 1
116.12.52.141; 2
185.172.66.245; 2
49.232.173.147; 4
54.38.160.4; 3
45.55.243.124; 2
119.28.21.55; 3
118.25.14.19; 1
183.129.174.68; 1
51.75.208.181; 1
182.48.230.18; 2
125.124.193.237; 4
111.229.43.153; 3
80.211.180.221; 4
190.98.228.54; 4
120.92.80.15; 2
103.4.217.139; 2
139.155.79.35; 1
66.70.205.186; 4
125.99.204.212; 1
123.206.26.133; 3
193.112.126.198; 2
200.54.51.124; 6
220.194.140.105; 3
121.201.61.205; 1
110.93.197.2; 4
83.223.167.53; 1
209.141.40.12; 5
195.158.8.178; 1
138.68.44.236; 4
148.70.72.242; 4
62.4.18.67; 4
37.49.226.155; 5
77.65.17.2; 2
106.54.82.34; 4
51.68.189.69; 2
180.158.183.150; 2
178.149.154.193; 3
174.44.16.69; 3
167.172.133.92; 2
218.90.138.98; 2
89.133.103.216; 3
197.47.76.185; 1
103.102.250.254; 2
200.123.119.163; 6
150.223.27.110; 2
182.156.84.130; 3
180.76.173.191; 1
134.108.236.162; 1
69.245.71.26; 3
35.214.141.53; 2
129.28.30.54; 1
62.55.243.3; 3
122.51.62.135; 2
45.42.86.178; 3
186.14.232.144; 1
218.0.57.245; 4
116.105.195.243; 13
27.78.14.83; 23
116.110.112.166; 1
178.217.159.175; 1
191.217.139.12; 1
114.86.186.119; 6
183.61.172.107; 2
1.53.89.112; 1
117.4.140.124; 1
120.92.91.176; 2
203.205.53.238; 1
182.61.160.77; 4
104.248.160.58; 2
51.255.51.63; 2
128.199.157.228; 2
180.167.225.118; 2
120.86.179.130; 1
71.184.103.54; 1
106.12.89.154; 3
192.207.202.2; 2
181.88.176.45; 1
200.89.174.253; 4
14.98.22.30; 1
123.24.106.114; 1
114.204.218.154; 6
122.51.42.182; 2
138.197.163.11; 1
192.144.227.105; 2
103.123.8.75; 4
180.248.141.68; 1
159.65.30.66; 2
118.71.224.164; 1
123.23.190.135; 1
87.251.74.35; 2
103.255.4.22; 1
117.4.85.80; 1
37.49.226.161; 2
122.51.58.42; 3
81.177.72.58; 2
49.206.125.99; 1
73.67.179.188; 2
190.66.3.92; 2
192.210.229.56; 2
119.45.114.87; 4
104.131.46.166; 2
49.232.51.237; 4
128.199.138.31; 1
54.38.186.69; 1
106.13.117.36; 2
124.121.108.82; 1
49.235.56.155; 2
123.207.142.31; 3
51.254.220.61; 2
106.12.69.250; 2
49.234.27.90; 1
14.37.210.160; 1
106.12.198.232; 1
107.173.34.202; 7
197.37.118.221; 1
171.226.218.148; 1
78.234.142.90; 3
137.97.62.244; 1
1.10.246.230; 1
120.71.145.254; 2
49.231.201.242; 1
49.233.204.30; 4
27.150.22.44; 2
35.180.34.107; 1
60.250.147.218; 2
210.61.164.220; 1
183.182.121.113; 1
37.49.226.236; 1
1.53.197.92; 1
118.68.178.129; 1
31.184.199.114; 3
31.184.198.75; 3
82.81.77.185; 1
178.128.14.102; 2
14.183.214.179; 1
180.164.180.120; 4
188.166.244.121; 4
186.4.242.37; 4
60.199.131.62; 2
111.231.117.106; 2
80.211.7.108; 4
144.34.170.117; 2
46.123.240.163; 1
176.88.223.60; 1
182.61.175.36; 2
203.185.61.137; 6
186.10.125.209; 2
106.13.93.60; 2
176.240.99.25; 1
203.147.79.174; 2
103.232.120.109; 2
27.34.30.55; 2
85.170.217.13; 1
117.211.192.70; 4
46.148.21.32; 2
132.232.49.143; 4
49.234.28.109; 2
102.37.12.59; 4
82.223.13.223; 1
200.206.81.154; 2
122.37.21.33; 2
139.155.71.154; 2
62.171.162.231; 2
180.76.146.153; 2
188.166.236.211; 4
94.191.3.81; 2
159.192.90.42; 1
139.198.18.184; 3
194.61.24.177; 1
85.234.137.138; 2
211.193.58.173; 6
94.61.175.26; 1
51.91.77.103; 3
212.64.54.167; 1
82.65.23.62; 2
171.224.178.157; 1
167.71.109.97; 3
159.89.157.75; 2
91.121.177.192; 9
49.248.3.10; 4
152.250.252.179; 2
51.83.70.93; 2
49.235.149.108; 2
94.200.197.86; 4
175.141.241.133; 1
118.98.121.194; 1
35.208.199.214; 1
167.172.207.89; 5
45.227.255.4; 14
139.99.105.138; 4
118.89.108.152; 2
103.58.116.141; 1
196.121.117.30; 1
39.37.170.215; 1
120.28.109.188; 2
49.235.84.51; 2
106.12.43.142; 5
159.89.38.228; 8
36.26.82.40; 2
212.64.84.215; 1
206.189.229.112; 2
123.140.114.196; 2
49.233.72.72; 2
81.182.248.193; 2
190.216.252.154; 1
14.173.142.15; 1
123.27.182.187; 1
36.153.0.229; 3
107.170.113.190; 3
34.67.145.173; 2
46.101.209.178; 3
142.93.235.47; 3
128.199.218.137; 4
122.51.192.105; 2
111.229.39.146; 2
106.13.228.187; 3
45.6.18.28; 2
103.21.143.192; 2
41.224.59.78; 2
41.230.56.9; 2
182.61.130.51; 5
85.209.0.152; 1
157.245.76.159; 1
145.239.72.142; 2
152.168.137.2; 2
36.133.41.222; 2
14.204.145.108; 2
46.142.8.227; 3
211.58.123.59; 4
49.232.16.47; 2
180.76.245.228; 1
14.29.177.90; 2
222.128.15.208; 2
219.240.99.120; 2
41.165.88.132; 1
103.242.47.178; 1
119.84.135.143; 2
167.114.98.229; 2
191.235.70.70; 2
77.68.73.152; 2
167.172.98.198; 2
51.159.52.209; 2
113.176.82.212; 1
90.150.16.33; 1
66.181.169.70; 1
122.51.216.203; 2
106.12.56.41; 2
202.51.80.98; 1
128.0.143.77; 2
176.31.255.63; 1
162.243.233.102; 2
132.232.163.120; 3
45.40.198.93; 2
118.71.196.16; 1
182.33.181.247; 1
35.204.71.237; 2
42.118.52.41; 1
182.61.10.28; 1
103.5.127.97; 3
95.48.54.106; 2
176.98.91.211; 1
122.51.34.199; 3
182.183.207.223; 1
125.212.207.205; 4
64.227.67.106; 2
129.204.186.151; 2
106.75.254.114; 5
138.68.105.194; 4
89.46.86.65; 2
51.77.212.179; 2
203.91.118.42; 1
125.188.231.18; 1
157.230.19.72; 1
159.192.96.175; 1
13.73.163.228; 1
180.245.147.173; 1
119.196.184.101; 4
157.245.211.120; 1
37.49.226.173; 4
134.209.148.107; 2
58.210.197.234; 4
181.48.67.89; 3
221.120.209.118; 1
111.229.31.144; 4
51.38.127.227; 3
96.114.71.146; 2
222.244.144.163; 2
43.226.148.66; 1
175.145.232.73; 2
203.177.71.253; 4
51.38.187.135; 2
81.180.26.162; 1
51.83.68.213; 5
89.42.252.124; 2
220.248.101.54; 2
106.75.9.141; 4
167.86.94.166; 1
189.203.240.84; 2
115.159.86.75; 5
51.75.208.183; 3
61.72.255.26; 4
223.71.73.250; 4
51.254.205.6; 7
106.13.105.231; 1
138.197.131.249; 2
193.112.143.80; 1
133.242.231.162; 6
116.75.146.125; 1
221.2.144.76; 2
123.21.121.79; 1
177.94.206.36; 1
106.13.167.62; 2
188.106.61.250; 2
168.1.110.9; 2
164.132.225.250; 1
80.211.137.127; 4
182.253.68.122; 4
103.112.191.100; 1
106.13.21.199; 1
118.89.228.58; 7
111.230.29.17; 1
202.113.91.8; 2
114.67.66.199; 2
129.213.32.32; 7
196.27.115.50; 3
186.10.21.236; 2
106.12.38.109; 1
114.67.112.120; 2
156.96.148.25; 2
68.116.41.6; 4
109.167.129.224; 2
207.154.206.212; 2
114.7.112.106; 4
124.156.107.252; 4
204.152.210.204; 1
24.3.39.126; 2
169.239.128.152; 1
200.87.178.137; 4
198.98.54.28; 2
106.12.183.209; 4
45.253.26.216; 2
111.229.253.8; 2
142.44.160.173; 3
106.13.77.182; 2
45.55.189.252; 1
37.187.225.67; 2
23.101.23.82; 4
122.165.149.75; 2
159.65.5.164; 1
88.32.154.37; 2
196.38.70.24; 2
36.133.61.177; 2
106.54.202.152; 2
119.29.177.237; 2
123.207.149.93; 6
51.83.75.97; 3
218.173.53.146; 1
124.127.206.4; 5
117.91.186.88; 2
106.12.140.168; 2
37.252.187.140; 1
118.89.27.72; 2
165.255.90.128; 1
116.228.37.90; 2
106.225.129.108; 1
138.197.168.116; 2
49.232.48.129; 4
117.27.88.61; 2
61.142.244.90; 2
46.101.77.58; 1
217.19.154.220; 6
120.71.145.181; 1
106.12.22.209; 2
49.233.182.23; 2
51.178.24.61; 2
81.51.156.171; 2
192.144.187.153; 3
85.67.154.164; 1
85.21.78.213; 2
111.231.226.87; 2
223.240.89.38; 2
125.99.46.50; 2
193.148.69.157; 4
139.59.13.53; 4
104.236.228.230; 6
113.172.217.122; 1
45.190.220.236; 1
37.49.226.64; 4
167.114.153.43; 1
45.14.150.140; 4
106.13.61.165; 2
209.97.174.90; 2
203.172.76.4; 7
106.13.39.34; 4
192.241.175.250; 2
182.61.37.144; 2
210.56.23.100; 2
123.206.23.106; 1
103.247.117.254; 1
122.155.174.36; 2
118.89.160.141; 2
200.89.154.99; 2
68.183.110.49; 8
167.99.66.193; 3
49.234.70.67; 6
139.59.23.128; 2
192.99.244.225; 2
106.13.218.105; 1
92.233.223.162; 1
60.29.31.98; 2
139.59.169.37; 4
203.162.13.68; 4
218.55.177.7; 2
114.67.229.131; 5
76.31.3.238; 4
218.155.69.48; 3
71.45.233.98; 2
125.166.213.33; 1
120.53.23.24; 1
180.76.100.183; 4
85.209.0.85; 1
198.12.32.123; 1
34.73.39.215; 4
51.77.201.5; 4
95.243.136.198; 2
49.233.134.252; 2
218.104.204.101; 2
190.129.47.148; 2
71.168.137.61; 1
51.83.57.157; 2
210.16.187.206; 1
142.93.239.197; 4
199.195.251.227; 2
106.13.19.75; 1
95.84.146.201; 1
206.189.71.79; 4
129.28.166.212; 3
162.243.253.67; 2
51.75.131.235; 1
202.168.205.181; 4
1.71.140.71; 5
47.180.212.134; 2
92.222.216.222; 7
51.83.42.108; 2
104.248.92.124; 2
45.119.83.210; 1
94.23.26.6; 2
103.92.24.240; 1
51.254.141.18; 2
87.251.74.30; 25
120.92.78.188; 4
66.70.130.152; 7
174.110.88.87; 4
106.124.140.36; 2
49.248.215.5; 4
51.75.208.177; 4
190.34.184.214; 2
121.141.75.184; 2
189.90.114.58; 2
40.85.206.198; 2
216.206.86.101; 2
122.144.196.122; 4
122.224.175.218; 1
34.93.149.4; 5
118.25.182.177; 2
122.51.131.225; 3
49.74.219.26; 2
51.255.35.58; 2
190.113.142.197; 1
125.162.52.207; 1
192.241.169.184; 2
185.74.4.189; 3
190.223.26.38; 2
171.252.170.212; 1
54.163.67.23; 2
132.232.10.144; 2
14.63.168.98; 4
192.141.200.12; 2
148.70.31.188; 1
138.197.180.29; 2
206.81.8.155; 2
218.0.60.235; 1
129.204.139.26; 4
51.38.186.244; 2
5.39.75.36; 2
202.77.105.100; 6
103.39.214.102; 1
202.147.198.154; 6
123.22.212.99; 2
49.233.90.200; 3
77.245.108.226; 1
119.237.20.44; 1
62.234.74.168; 3
62.234.150.103; 2
201.219.247.6; 2
185.46.18.99; 2
113.142.58.155; 2
203.106.194.124; 4
192.241.133.191; 1
111.231.63.14; 7
49.235.165.128; 2
106.52.109.185; 1
116.85.40.181; 2
93.146.12.197; 2
122.51.232.240; 2
84.129.152.178; 4
129.204.205.231; 4
125.134.58.76; 2
62.210.157.138; 1
66.70.130.151; 4
138.68.95.204; 2
139.59.135.84; 7
101.231.154.154; 1
202.154.180.51; 3
106.12.144.219; 1
106.52.240.160; 4
35.193.193.176; 3
120.70.98.132; 2
45.139.239.3; 2
46.218.7.227; 2
187.12.167.85; 4
45.183.193.1; 2
217.133.58.148; 6
37.187.102.226; 3
167.71.52.241; 5
87.110.181.30; 1
113.175.81.29; 1
178.27.84.171; 2
47.50.246.114; 2
151.80.60.151; 2
223.113.74.54; 1
206.189.87.108; 2
103.253.113.173; 2
121.69.135.162; 2
222.112.178.113; 2
104.131.190.193; 2
106.12.209.117; 2
36.90.46.230; 1
45.55.184.78; 4
43.228.125.7; 2
159.65.59.41; 2
212.47.241.15; 1
58.248.226.198; 2
222.29.159.167; 3
81.183.222.181; 4
77.109.173.12; 2
164.132.196.98; 4
2.139.220.30; 2
157.40.184.189; 1
47.56.240.67; 1
104.244.229.180; 1
41.203.214.13; 1
124.156.105.251; 4
178.128.59.109; 2
188.254.0.160; 2
202.175.250.218; 2
58.56.112.167; 1
111.229.187.216; 4
222.90.74.62; 1
36.74.75.31; 2
139.199.98.175; 1
119.28.132.211; 2
95.85.26.23; 3
133.242.53.108; 4
167.172.36.232; 3
142.93.216.68; 1
150.95.217.213; 2
159.65.132.170; 1
80.211.98.67; 2
190.181.60.2; 4
123.139.37.82; 1
212.58.120.205; 2
167.99.77.94; 4
51.255.172.198; 3
180.168.36.2; 4
5.135.164.227; 5
36.81.203.211; 4
80.227.12.38; 2
148.235.82.68; 2
175.123.253.220; 2
210.10.208.238; 1
54.38.190.48; 2
101.89.150.171; 2
101.251.219.228; 1
178.128.221.85; 2
85.38.164.51; 4
51.79.66.190; 2
14.18.62.124; 1
192.144.191.17; 1
66.249.155.245; 2
37.49.226.248; 1
212.95.137.164; 3
134.209.71.245; 2
130.105.204.114; 1
167.114.98.96; 3
159.89.199.229; 2
183.136.239.178; 2
178.128.125.10; 2
59.172.61.66; 2
178.33.67.12; 4
178.128.63.79; 2
106.13.173.12; 2
203.110.215.167; 2
187.245.180.38; 2
180.76.133.216; 2
104.248.149.130; 2
182.43.165.158; 2
159.89.97.23; 1
139.59.90.31; 4
60.220.187.113; 3
37.72.47.72; 1
118.25.18.130; 2
122.165.207.221; 2
222.221.248.242; 1
176.122.158.234; 3
206.189.239.103; 2
119.29.158.26; 1
139.99.40.44; 2
200.44.50.155; 2
139.199.248.199; 2
187.138.115.223; 1
180.76.177.195; 2
46.101.174.188; 2
208.73.90.85; 2
120.70.100.54; 1
49.235.193.207; 2
5.196.198.147; 2
220.170.15.243; 1
36.133.84.5; 2
106.13.238.73; 6
190.14.141.226; 2
177.8.244.38; 2
177.43.236.178; 2
54.37.71.235; 1
182.148.178.236; 2
106.12.149.196; 2
165.227.26.69; 5
128.199.44.102; 2
222.99.52.216; 4
14.21.7.162; 2
123.206.81.59; 2
201.91.86.28; 4
129.126.244.51; 8
190.210.42.209; 1
134.175.19.71; 4
85.209.0.135; 1
106.12.54.13; 2
106.54.253.152; 2
132.232.132.103; 4
188.131.248.228; 6
212.145.192.205; 2
119.188.157.211; 2
106.13.234.36; 3
27.71.227.197; 1
49.233.79.78; 2
129.226.125.177; 1
192.144.190.244; 3
51.75.17.122; 4
185.74.4.110; 3
80.211.13.167; 2
188.226.131.171; 2
206.189.147.137; 2
45.40.194.129; 2
106.13.182.26; 2
106.75.13.213; 5
58.240.54.136; 1
119.57.127.12; 2
193.112.139.159; 3
106.12.60.40; 2
125.124.91.247; 2
203.130.242.68; 2
142.93.15.179; 3
50.39.246.123; 1
51.254.143.190; 5
51.178.51.152; 2
27.50.169.167; 5
54.37.151.239; 4
164.132.47.139; 4
59.22.233.81; 2
190.202.109.244; 4
177.158.117.184; 2
201.48.192.60; 2
157.230.208.92; 2
54.36.163.62; 2
150.95.81.40; 4
51.91.127.201; 2
187.72.167.124; 4
138.68.148.177; 4
140.143.93.31; 2
115.159.99.61; 2
159.65.152.201; 5
171.244.139.236; 3
106.13.160.12; 2
78.217.177.232; 1
157.230.150.102; 2
103.82.80.192; 1
62.234.102.25; 2
142.44.160.40; 6
104.41.143.165; 5
209.87.251.162; 2
118.25.91.168; 1
108.12.225.85; 2
106.54.87.169; 3
94.102.50.150; 1
152.136.205.244; 2
139.59.58.115; 2
128.199.87.229; 2
139.198.190.182; 2
178.62.74.102; 3
178.32.218.192; 1
60.250.164.169; 1
54.38.188.118; 3
118.172.146.123; 1
83.17.166.241; 6
195.154.42.43; 1
223.206.226.59; 1
42.112.89.82; 1
140.143.57.195; 2
85.239.35.161; 7
103.74.239.110; 2
104.236.230.165; 1
185.51.201.115; 2
211.159.177.227; 2
139.199.80.67; 2
212.129.152.27; 2
210.121.223.61; 3
171.61.33.38; 1
106.13.219.219; 1
23.96.106.45; 3
68.183.95.108; 2
193.33.240.91; 1
111.229.15.228; 1
182.16.110.190; 1
117.34.210.106; 2
188.131.204.154; 4
200.66.82.250; 3
101.227.68.10; 2
158.69.204.172; 2
185.234.218.47; 4
92.119.62.166; 1
94.178.125.30; 1
85.209.0.105; 1
180.76.53.230; 2
200.105.218.130; 2
81.84.249.147; 2
106.12.119.218; 1
185.14.187.133; 2
188.166.226.26; 1
176.37.100.247; 1
93.189.217.84; 1
106.13.18.140; 2
49.235.221.172; 2
118.27.21.173; 2
213.137.179.203; 4
49.233.90.66; 2
106.124.131.194; 2
117.80.212.113; 6
180.166.117.254; 2
210.97.40.34; 3
91.132.103.15; 6
193.112.126.64; 4
171.251.33.100; 1
118.140.183.42; 2
181.1.7.231; 2
150.136.245.74; 1
36.92.109.147; 1
151.127.43.175; 4
206.189.204.63; 2
104.194.83.8; 1
203.112.73.169; 1
14.29.232.180; 1
51.15.228.112; 1
36.110.102.114; 1
194.182.88.217; 1
117.41.185.108; 2
35.189.73.72; 2
106.13.66.103; 2
69.158.207.141; 2
122.51.64.115; 2
106.13.31.119; 2
157.37.186.54; 1
95.153.86.160; 1
14.226.232.205; 1
163.172.26.42; 13
37.14.130.140; 1
91.233.42.38; 5
84.56.188.206; 1
27.128.187.131; 6
82.62.153.15; 2
42.148.177.18; 1
27.185.12.20; 4
14.183.134.11; 1
185.22.174.30; 2
152.136.165.226; 2
50.100.108.174; 2
54.254.245.196; 2
151.80.234.255; 3
51.91.255.147; 1
167.71.9.180; 1
158.69.196.76; 2
46.101.183.105; 7
49.176.146.35; 2
54.37.13.107; 1
182.61.10.142; 4
210.21.9.252; 1
128.199.183.215; 2
195.69.222.71; 3
106.12.14.183; 2
162.243.232.174; 5
129.28.177.29; 2
202.238.61.137; 2
154.16.67.198; 1
187.53.109.140; 6
164.132.46.14; 3
198.211.109.208; 2
125.124.147.191; 4
80.255.130.197; 4
134.209.228.253; 1
181.30.8.146; 4
140.246.184.210; 1
159.89.131.172; 2
223.247.223.194; 2
134.122.106.228; 1
2.7.42.91; 1
106.12.220.19; 2
101.231.146.36; 10
39.99.140.246; 1
192.241.175.48; 1
218.88.164.159; 1
122.114.249.199; 1
218.78.213.143; 2
200.73.129.85; 1
150.136.102.101; 2
66.70.130.153; 2
103.78.39.106; 2
77.21.136.29; 1
103.146.203.247; 1
168.128.86.35; 2
79.70.29.218; 2
54.37.71.204; 4
51.77.137.230; 1
203.57.227.58; 2
121.100.17.42; 1
165.22.121.41; 1
41.57.65.76; 2
62.234.146.45; 1
104.248.114.67; 5
62.234.103.191; 4
134.209.164.184; 2
106.13.19.145; 2
192.3.255.139; 2
118.27.31.188; 2
192.99.4.145; 5
49.233.153.154; 2
139.186.71.62; 2
212.64.7.134; 2
122.51.104.166; 2
134.209.157.201; 2
132.145.242.238; 4
59.36.144.108; 2
168.228.168.34; 2
221.167.198.141; 2
167.99.48.123; 1
103.254.198.67; 2
222.73.134.183; 2
122.51.243.143; 5
37.152.178.44; 1
106.54.17.235; 4
88.99.80.135; 1
177.124.20.18; 2
180.169.129.180; 1
139.59.95.60; 2
152.32.134.90; 1
45.116.35.144; 3
190.148.50.107; 1
192.241.136.57; 2
212.64.93.103; 3
115.231.221.129; 2
80.211.59.57; 2
120.31.143.209; 2
107.170.204.148; 7
45.157.232.128; 1
154.8.201.59; 1
121.170.195.137; 2
91.121.221.195; 1
106.13.75.97; 1
180.76.101.244; 2
157.230.190.1; 2
122.51.154.172; 4
111.67.195.13; 1
179.6.48.245; 1
41.170.14.90; 3
159.89.88.193; 1
14.200.247.7; 2
58.87.70.210; 2
116.111.164.181; 1
92.239.176.230; 1
125.214.51.128; 1
101.99.13.143; 1
117.50.40.36; 1
51.75.30.199; 1
36.81.112.182; 1
171.247.62.228; 1
3.120.149.23; 1
103.87.214.100; 1
157.230.132.100; 4
96.64.7.59; 4
122.51.57.78; 1
